"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:47 GMT 2024","2428","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of login page [Allure Step]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:49 GMT 2024","4452","e2e tests","example.spec.ts","Cart Management Tests","","","Complete a purchase [Allure Step]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:53 GMT 2024","9415","e2e tests","example.spec.ts","Product Interaction Tests","","","Flaky test for adding product to cart [Allure Flaky]",""
"passed","Sat Aug 03 12:14:02 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","2854","e2e tests","example.spec.ts","Login Tests1","","","Unsuccessful login with invalid credentials [Allure Step]2","This test verifies an unsuccessful login with invalid credentials."
"failed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:56 GMT 2024","2086","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare inventory page screenshot [Allure Visual Regression]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:54 GMT 2024","9445","e2e tests","example.spec.ts","Cart Management Tests","","","Flaky test for checkout process [Allure Flaky]",""
"passed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:57 GMT 2024","2385","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to New York [Allure Geolocation]",""
"failed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:47 GMT 2024","3091","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of inventory page [Allure Step]",""
"broken","Sat Aug 03 12:14:03 GMT 2024","Sat Aug 03 12:14:34 GMT 2024","31167","e2e tests","example.spec.ts","Cart Management Tests2","","","Complete a purchase [Allure Step]2","This test completes a purchase."
"passed","Sat Aug 03 12:14:00 GMT 2024","Sat Aug 03 12:14:02 GMT 2024","2579","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure parameter [Allure Custom Parameter]",""
"passed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:58 GMT 2024","4063","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of inventory page [Allure Screenshot]",""
"failed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:47 GMT 2024","3255","e2e tests","example.spec.ts","Product Interaction Tests","","","View product details [Allure Step]",""
"failed","Sat Aug 03 12:14:02 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","2949","e2e tests","example.spec.ts","Product Interaction Tests2","","","View product details [Allure Step]2","This test views product details."
"failed","Sat Aug 03 12:14:00 GMT 2024","Sat Aug 03 12:14:02 GMT 2024","2062","e2e tests","example.spec.ts","API Testing","","","Flaky test for API testing [Allure Flaky]",""
"passed","Sat Aug 03 12:14:00 GMT 2024","Sat Aug 03 12:14:02 GMT 2024","2314","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure annotation [Allure Custom Annotation]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:47 GMT 2024","3399","e2e tests","example.spec.ts","Product Interaction Tests","","","Remove a product from the cart [Allure Step]",""
"failed","Sat Aug 03 12:13:53 GMT 2024","Sat Aug 03 12:13:55 GMT 2024","1805","e2e tests","example.spec.ts","Performance Tests","","","Flaky test for performance [Allure Flaky]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:48 GMT 2024","4021","e2e tests","example.spec.ts","Cart Management Tests","","","Proceed to checkout [Allure Step]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:49 GMT 2024","4517","e2e tests","example.spec.ts","Navigation Tests","","","Logout from application [Allure Step]",""
"passed","Sat Aug 03 12:14:00 GMT 2024","Sat Aug 03 12:14:08 GMT 2024","7354","e2e tests","example.spec.ts","Custom Annotation Tests","","","Flaky test with custom annotation [Allure Flaky]",""
"passed","Sat Aug 03 12:13:55 GMT 2024","Sat Aug 03 12:13:58 GMT 2024","2510","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to London [Allure Geolocation]",""
"failed","Sat Aug 03 12:13:57 GMT 2024","Sat Aug 03 12:14:04 GMT 2024","7621","e2e tests","example.spec.ts","Network Interception Tests","","","Modify network response [Allure Network Interception]",""
"failed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:56 GMT 2024","2179","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare login page screenshot [Allure Visual Regression]",""
"passed","Sat Aug 03 12:13:56 GMT 2024","Sat Aug 03 12:14:00 GMT 2024","4135","e2e tests","example.spec.ts","Browser Context Tests","","","Create new browser context [Allure Browser Context]",""
"passed","Sat Aug 03 12:14:03 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","2960","e2e tests","example.spec.ts","Cart Management Tests2","","","Proceed to checkout [Allure Step]","This test proceeds to checkout from the cart."
"passed","Sat Aug 03 12:13:55 GMT 2024","Sat Aug 03 12:14:03 GMT 2024","7867","e2e tests","example.spec.ts","Geolocation Tests","","","Flaky test for geolocation [Allure Flaky]",""
"failed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:56 GMT 2024","2343","e2e tests","example.spec.ts","Performance Tests","","","Measure login page performance [Allure Step]",""
"passed","Sat Aug 03 12:13:53 GMT 2024","Sat Aug 03 12:13:56 GMT 2024","2390","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of login page [Allure Screenshot]",""
