"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 03 12:13:59 GMT 2024","Sat Aug 03 12:14:01 GMT 2024","2058","e2e tests","example.spec.ts","API Testing","","","Post API data [Allure API Testing]",""
"passed","Sat Aug 03 12:13:53 GMT 2024","Sat Aug 03 12:14:00 GMT 2024","7120","e2e tests","example.spec.ts","Screenshot Tests","","","Flaky test for screenshots [Allure Flaky]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:48 GMT 2024","3528","e2e tests","example.spec.ts","Login Tests","","","Unsuccessful login with invalid credentials [Allure Step]",""
"passed","Sat Aug 03 12:14:01 GMT 2024","Sat Aug 03 12:14:04 GMT 2024","2924","e2e tests","example.spec.ts","Login Tests1","","","Successful login with valid credentials [Allure Step]","This test verifies a successful login with valid credentials."
"passed","Sat Aug 03 12:14:02 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","2667","e2e tests","example.spec.ts","Product Interaction Tests2","","","Remove a product from the cart [Allure Step]2","This test removes a product from the cart."
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:48 GMT 2024","3978","e2e tests","example.spec.ts","Login Tests","","","Successful login with valid credentials [Allure Step]",""
"passed","Sat Aug 03 12:13:59 GMT 2024","Sat Aug 03 12:14:01 GMT 2024","2277","e2e tests","example.spec.ts","API Testing","","","Fetch API data [Allure API Testing]",""
"failed","Sat Aug 03 12:13:53 GMT 2024","Sat Aug 03 12:13:55 GMT 2024","1893","e2e tests","example.spec.ts","Performance Tests","","","Measure inventory page performance [Allure Step]",""
"passed","Sat Aug 03 12:14:02 GMT 2024","Sat Aug 03 12:14:04 GMT 2024","2771","e2e tests","example.spec.ts","Product Interaction Tests2","","","Add a product to the cart [Allure Step]","This test adds a product to the cart."
"failed","Sat Aug 03 12:13:53 GMT 2024","Sat Aug 03 12:13:55 GMT 2024","2537","e2e tests","example.spec.ts","Accessibility Tests","","","Flaky test for accessibility [Allure Flaky]",""
"passed","Sat Aug 03 12:14:02 GMT 2024","Sat Aug 03 12:14:10 GMT 2024","7767","e2e tests","example.spec.ts","Product Interaction Tests2","","","Flaky test for adding product to cart [Allure Flaky]2","This test adds a product to the cart with intentional delay to make it flaky."
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:48 GMT 2024","3262","e2e tests","example.spec.ts","Product Interaction Tests","","","Add a product to the cart [Allure Step]",""
"passed","Sat Aug 03 12:13:58 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","7424","e2e tests","example.spec.ts","Network Interception Tests","","","Flaky test for network interception [Allure Flaky]",""
"passed","Sat Aug 03 12:13:57 GMT 2024","Sat Aug 03 12:13:59 GMT 2024","2604","e2e tests","example.spec.ts","Network Interception Tests","","","Intercept network requests [Allure Network Interception]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:47 GMT 2024","3339","e2e tests","example.spec.ts","Cart Management Tests","","","Continue shopping from cart [Allure Step]",""
"passed","Sat Aug 03 12:13:57 GMT 2024","Sat Aug 03 12:14:05 GMT 2024","8707","e2e tests","example.spec.ts","Browser Context Tests","","","Flaky test for browser context [Allure Flaky]",""
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:57 GMT 2024","12386","e2e tests","example.spec.ts","Navigation Tests","","","Flaky test for navigation [Allure Flaky]",""
"failed","Sat Aug 03 12:13:54 GMT 2024","Sat Aug 03 12:13:56 GMT 2024","1804","e2e tests","example.spec.ts","Visual Regression Tests","","","Flaky test for visual regression [Allure Flaky]",""
"passed","Sat Aug 03 12:14:03 GMT 2024","Sat Aug 03 12:14:06 GMT 2024","2782","e2e tests","example.spec.ts","Cart Management Tests2","","","Continue shopping from cart [Allure Step]2","This test continues shopping from the cart."
"passed","Sat Aug 03 12:13:44 GMT 2024","Sat Aug 03 12:13:53 GMT 2024","8491","e2e tests","example.spec.ts","Navigation Tests","","","Navigate to about page [Allure Step]",""
"passed","Sat Aug 03 12:13:57 GMT 2024","Sat Aug 03 12:14:00 GMT 2024","3040","e2e tests","example.spec.ts","Browser Context Tests","","","Reuse existing browser context [Allure Browser Context]",""
