"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 31 18:09:40 GMT 2024","Wed Jul 31 18:09:42 GMT 2024","1787","e2e tests","example.spec.ts","API Testing","","","Post API data [Allure API Testing]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:36 GMT 2024","9789","e2e tests","example.spec.ts","Cart Management Tests","","","Flaky test for checkout process [Allure Flaky]",""
"passed","Wed Jul 31 18:09:39 GMT 2024","Wed Jul 31 18:09:41 GMT 2024","1834","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure annotation [Allure Custom Annotation]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:30 GMT 2024","3053","e2e tests","example.spec.ts","Product Interaction Tests","","","Add a product to the cart [Allure Step]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:30 GMT 2024","3165","e2e tests","example.spec.ts","Cart Management Tests","","","Proceed to checkout [Allure Step]",""
"failed","Wed Jul 31 18:09:26 GMT 2024","Wed Jul 31 18:09:29 GMT 2024","3031","e2e tests","example.spec.ts","Product Interaction Tests","","","View product details [Allure Step]",""
"passed","Wed Jul 31 18:09:39 GMT 2024","Wed Jul 31 18:09:40 GMT 2024","1875","e2e tests","example.spec.ts","Network Interception Tests","","","Modify network response [Allure Network Interception]",""
"passed","Wed Jul 31 18:09:26 GMT 2024","Wed Jul 31 18:09:29 GMT 2024","2875","e2e tests","example.spec.ts","Login Tests","","","Successful login with valid credentials [Allure Step]",""
"failed","Wed Jul 31 18:09:35 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","2024","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare inventory page screenshot [Allure Visual Regression]",""
"passed","Wed Jul 31 18:09:37 GMT 2024","Wed Jul 31 18:09:39 GMT 2024","2261","e2e tests","example.spec.ts","Browser Context Tests","","","Reuse existing browser context [Allure Browser Context]",""
"passed","Wed Jul 31 18:09:38 GMT 2024","Wed Jul 31 18:09:46 GMT 2024","8689","e2e tests","example.spec.ts","Browser Context Tests","","","Flaky test for browser context [Allure Flaky]",""
"failed","Wed Jul 31 18:09:35 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","1909","e2e tests","example.spec.ts","Visual Regression Tests","","","Flaky test for visual regression [Allure Flaky]",""
"passed","Wed Jul 31 18:09:34 GMT 2024","Wed Jul 31 18:09:41 GMT 2024","7028","e2e tests","example.spec.ts","Screenshot Tests","","","Flaky test for screenshots [Allure Flaky]",""
"failed","Wed Jul 31 18:09:40 GMT 2024","Wed Jul 31 18:09:42 GMT 2024","1859","e2e tests","example.spec.ts","API Testing","","","Flaky test for API testing [Allure Flaky]",""
"failed","Wed Jul 31 18:09:33 GMT 2024","Wed Jul 31 18:09:35 GMT 2024","1539","e2e tests","example.spec.ts","Accessibility Tests","","","Flaky test for accessibility [Allure Flaky]",""
"passed","Wed Jul 31 18:09:26 GMT 2024","Wed Jul 31 18:09:29 GMT 2024","3009","e2e tests","example.spec.ts","Login Tests","","","Unsuccessful login with invalid credentials [Allure Step]",""
"failed","Wed Jul 31 18:09:34 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","2115","e2e tests","example.spec.ts","Performance Tests","","","Measure login page performance [Allure Step]",""
"passed","Wed Jul 31 18:09:39 GMT 2024","Wed Jul 31 18:09:41 GMT 2024","1970","e2e tests","example.spec.ts","API Testing","","","Fetch API data [Allure API Testing]",""
"failed","Wed Jul 31 18:09:34 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","2348","e2e tests","example.spec.ts","Performance Tests","","","Measure inventory page performance [Allure Step]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:41 GMT 2024","14210","e2e tests","example.spec.ts","Navigation Tests","","","Flaky test for navigation [Allure Flaky]",""
"passed","Wed Jul 31 18:09:35 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","2287","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of login page [Allure Screenshot]",""
"failed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:29 GMT 2024","2641","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of login page [Allure Step]",""
"passed","Wed Jul 31 18:09:26 GMT 2024","Wed Jul 31 18:09:34 GMT 2024","7966","e2e tests","example.spec.ts","Product Interaction Tests","","","Flaky test for adding product to cart [Allure Flaky]",""
"passed","Wed Jul 31 18:09:36 GMT 2024","Wed Jul 31 18:09:41 GMT 2024","4565","e2e tests","example.spec.ts","Browser Context Tests","","","Create new browser context [Allure Browser Context]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:35 GMT 2024","7886","e2e tests","example.spec.ts","Navigation Tests","","","Navigate to about page [Allure Step]",""
