"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 18:09:41 GMT 2024","Wed Jul 31 18:09:48 GMT 2024","7319","e2e tests","example.spec.ts","Custom Annotation Tests","","","Flaky test with custom annotation [Allure Flaky]",""
"failed","Wed Jul 31 18:09:33 GMT 2024","Wed Jul 31 18:09:35 GMT 2024","1554","e2e tests","example.spec.ts","Performance Tests","","","Flaky test for performance [Allure Flaky]",""
"passed","Wed Jul 31 18:09:26 GMT 2024","Wed Jul 31 18:09:30 GMT 2024","3435","e2e tests","example.spec.ts","Cart Management Tests","","","Continue shopping from cart [Allure Step]",""
"passed","Wed Jul 31 18:09:34 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","3041","e2e tests","example.spec.ts","Screenshot Tests","","","Take screenshot of inventory page [Allure Screenshot]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:31 GMT 2024","3729","e2e tests","example.spec.ts","Product Interaction Tests","","","Remove a product from the cart [Allure Step]",""
"passed","Wed Jul 31 18:09:39 GMT 2024","Wed Jul 31 18:09:46 GMT 2024","6973","e2e tests","example.spec.ts","Network Interception Tests","","","Flaky test for network interception [Allure Flaky]",""
"passed","Wed Jul 31 18:09:35 GMT 2024","Wed Jul 31 18:09:43 GMT 2024","7343","e2e tests","example.spec.ts","Geolocation Tests","","","Flaky test for geolocation [Allure Flaky]",""
"failed","Wed Jul 31 18:09:37 GMT 2024","Wed Jul 31 18:09:40 GMT 2024","2243","e2e tests","example.spec.ts","Network Interception Tests","","","Intercept network requests [Allure Network Interception]",""
"failed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:30 GMT 2024","3081","e2e tests","example.spec.ts","Accessibility Tests","","","Check accessibility of inventory page [Allure Step]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:31 GMT 2024","4196","e2e tests","example.spec.ts","Cart Management Tests","","","Complete a purchase [Allure Step]",""
"passed","Wed Jul 31 18:09:35 GMT 2024","Wed Jul 31 18:09:37 GMT 2024","2336","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to London [Allure Geolocation]",""
"passed","Wed Jul 31 18:09:27 GMT 2024","Wed Jul 31 18:09:32 GMT 2024","4751","e2e tests","example.spec.ts","Navigation Tests","","","Logout from application [Allure Step]",""
"failed","Wed Jul 31 18:09:34 GMT 2024","Wed Jul 31 18:09:36 GMT 2024","1515","e2e tests","example.spec.ts","Visual Regression Tests","","","Compare login page screenshot [Allure Visual Regression]",""
"passed","Wed Jul 31 18:09:41 GMT 2024","Wed Jul 31 18:09:43 GMT 2024","2522","e2e tests","example.spec.ts","Custom Annotation Tests","","","Test with custom allure parameter [Allure Custom Parameter]",""
"passed","Wed Jul 31 18:09:36 GMT 2024","Wed Jul 31 18:09:38 GMT 2024","2532","e2e tests","example.spec.ts","Geolocation Tests","","","Set geolocation to New York [Allure Geolocation]",""
