"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 20:38:52 GMT 2024","Tue Jul 30 20:38:55 GMT 2024","2361","e2e tests","example.spec.ts","","","","should navigate back to products from item details",""
"passed","Tue Jul 30 20:39:03 GMT 2024","Tue Jul 30 20:39:06 GMT 2024","3017","e2e tests","example.spec.ts","","","","should reset app state",""
"passed","Tue Jul 30 20:38:55 GMT 2024","Tue Jul 30 20:38:57 GMT 2024","2398","e2e tests","example.spec.ts","","","","should add multiple products to the cart",""
"passed","Tue Jul 30 20:38:46 GMT 2024","Tue Jul 30 20:38:50 GMT 2024","3026","e2e tests","example.spec.ts","","","","should complete the checkout process",""
"passed","Tue Jul 30 20:38:53 GMT 2024","Tue Jul 30 20:39:00 GMT 2024","6976","e2e tests","example.spec.ts","","","","should navigate using the menu",""
"failed","Tue Jul 30 20:39:00 GMT 2024","Tue Jul 30 20:39:02 GMT 2024","2255","e2e tests","example.spec.ts","","","","should verify the image of an inventory item",""
"passed","Tue Jul 30 20:38:45 GMT 2024","Tue Jul 30 20:38:48 GMT 2024","2691","e2e tests","example.spec.ts","","","","should remove a product from the cart",""
"passed","Tue Jul 30 20:38:43 GMT 2024","Tue Jul 30 20:38:45 GMT 2024","2242","e2e tests","example.spec.ts","","","","should not log in with invalid credentials",""
"passed","Tue Jul 30 20:38:48 GMT 2024","Tue Jul 30 20:38:50 GMT 2024","2257","e2e tests","example.spec.ts","","","","should sort products by price (low to high)",""
"broken","Tue Jul 30 20:39:00 GMT 2024","Tue Jul 30 20:39:32 GMT 2024","31732","e2e tests","example.spec.ts","","","","should verify footer links",""
"passed","Tue Jul 30 20:38:42 GMT 2024","Tue Jul 30 20:38:44 GMT 2024","2291","e2e tests","example.spec.ts","","","","should log in with valid credentials",""
"passed","Tue Jul 30 20:38:44 GMT 2024","Tue Jul 30 20:38:46 GMT 2024","2261","e2e tests","example.spec.ts","","","","should add a product to the cart",""
"passed","Tue Jul 30 20:38:36 GMT 2024","Tue Jul 30 20:38:39 GMT 2024","3337","e2e tests","example.spec.ts","","","","get started link",""
"passed","Tue Jul 30 20:38:36 GMT 2024","Tue Jul 30 20:38:38 GMT 2024","2640","e2e tests","example.spec.ts","","","","has title",""
"passed","Tue Jul 30 20:38:57 GMT 2024","Tue Jul 30 20:39:00 GMT 2024","2547","e2e tests","example.spec.ts","","","","should remove multiple products from the cart",""
"passed","Tue Jul 30 20:38:50 GMT 2024","Tue Jul 30 20:38:52 GMT 2024","2273","e2e tests","example.spec.ts","","","","should view the details of an inventory item",""
"passed","Tue Jul 30 20:38:50 GMT 2024","Tue Jul 30 20:38:53 GMT 2024","3648","e2e tests","example.spec.ts","","","","should log out successfully",""
